Page Path,Page Type,Authentication Required,API Endpoints Used,Database Tables Accessed,Data Operations,Status,Notes
/workshop/quotes/create/[sessionId],Quote Creation,Yes (Workshop Token),POST /api/workshop/quotes/create,repair_quotes,INSERT,Complete,Create repair quote
/workshop/escalations,Escalation Queue,Yes (Workshop Token),GET /api/workshop/escalation-queue,sessions,SELECT,Complete,Escalated sessions
/workshop/settings/revenue,Revenue Settings,Yes (Workshop Token),"GET /api/workshop/dashboard, PUT /api/workshop/revenue",organizations,SELECT|UPDATE,Incomplete,MISSING UPDATE API
/workshop/partnerships/programs,Partnership Programs,Yes (Workshop Token),GET /api/workshops/programs,partnership_programs,SELECT,Complete,Manage programs
/workshop/partnerships/applications,Partnership Applications,Yes (Workshop Token),GET /api/workshops/applications,partnership_applications,SELECT,Complete,Review applications
/admin/login,Auth Form,No (Public),POST /api/admin/login,"auth.users, profiles",SELECT,Complete,Admin Supabase auth + role check
/admin/logout,Action Page,Yes (Admin),"POST /api/admin/logout, GET /api/admin/logout",None,None,Complete,Admin logout
/admin/dashboard,Admin Dashboard,Yes (Admin),GET /api/admin/dashboard/stats,"sessions, profiles, mechanics, organizations",SELECT,Complete,Platform overview with real-time stats
/admin/(shell)/customers,Customer List,Yes (Admin),GET /api/admin/users/customers,profiles,SELECT,Complete,Customer management
/admin/(shell)/customers/[id],Customer Detail,Yes (Admin),"GET /api/admin/users/[id], POST /api/admin/users/[id]/notes, POST /api/admin/users/[id]/suspend","profiles, admin_notes",SELECT|INSERT|UPDATE,Complete,Customer details + actions
/admin/(shell)/mechanics,Mechanic List,Yes (Admin),GET /api/admin/users/mechanics,mechanics,SELECT,Complete,Mechanic directory
/admin/(shell)/mechanics/[id],Mechanic Detail,Yes (Admin),"GET /api/admin/users/mechanics/[id], POST /api/admin/users/mechanics/[id]/approve, POST /api/admin/users/mechanics/[id]/adjust-rating","mechanics, mechanic_sessions",SELECT|UPDATE,Complete,Mechanic admin controls
/admin/(shell)/mechanics/applications,Application List,Yes (Admin),GET /api/admin/mechanics/applications,mechanics,SELECT,Complete,Pending mechanic applications
/admin/(shell)/workshops,Workshop List,Yes (Admin),GET /api/admin/workshops,organizations,SELECT,Complete,Workshop directory
/admin/(shell)/workshops/[id],Workshop Detail,Yes (Admin),"GET /api/admin/workshops/[id], POST /api/admin/workshops/[id]/approve, POST /api/admin/workshops/[id]/suspend",organizations,SELECT|UPDATE,Incomplete,MISSING DETAIL API
/admin/(shell)/workshops/applications,Application List,Yes (Admin),GET /api/admin/workshops/applications,organizations,SELECT,Complete,Pending workshop applications
/admin/(shell)/sessions,Session List,Yes (Admin),"GET /api/admin/sessions/stats, POST /api/admin/sessions/export","sessions, profiles, mechanics",SELECT,Complete,All platform sessions
/admin/(shell)/intakes,Intake List,Yes (Admin),"GET /api/admin/intakes/query, POST /api/admin/intakes/export",intakes,SELECT,Complete,Intake management
/admin/(shell)/intakes/[id],Intake Detail,Yes (Admin),"GET /api/admin/intakes/[id], PUT /api/admin/intakes/[id]/status","intakes, sessions",SELECT|UPDATE,Complete,Intake details + conversion
/admin/(shell)/intakes/[id]/details,Intake Details,Yes (Admin),GET /api/admin/intakes/[id],intakes,SELECT,Complete,Detailed intake view
/admin/(shell)/intakes/deletions,Deletion Log,Yes (Admin),None,None,None,Incomplete,NO BACKEND
/admin/(shell)/corporate,Corporate List,Yes (Admin),GET /api/admin/corporate,corporate_businesses,SELECT,Complete,Corporate accounts
/admin/(shell)/requests,Request Queue,Yes (Admin),GET /api/admin/requests,session_requests,SELECT,Complete,Pending session requests
/admin/(shell)/logs,System Logs,Yes (Admin),"GET /api/admin/logs, GET /api/admin/logs/stats",admin_logs,SELECT,Complete,Admin audit trail
/admin/(shell)/errors,Error Log,Yes (Admin),"GET /api/admin/errors, DELETE /api/admin/errors/[id]",error_logs,SELECT|DELETE,Complete,Application errors
/admin/(shell)/health,System Health,Yes (Admin),GET /api/admin/health,"sessions, mechanics, profiles",SELECT,Complete,Health checks
/admin/(shell)/database,Database Tools,Yes (Admin),"POST /api/admin/database/query, GET /api/admin/database/history",query_history,SELECT|INSERT,Complete,DANGEROUS - direct SQL access
/admin/(shell)/cleanup,Data Cleanup,Yes (Admin),"GET /api/admin/cleanup/preview, POST /api/admin/cleanup/execute, GET /api/admin/cleanup/history","sessions, session_requests",SELECT|DELETE,Complete,Mass cleanup tool
/admin/(shell)/documents,Document Review,Yes (Admin),"GET /api/admin/mechanic-documents, POST /api/admin/mechanic-documents/[id]/review",mechanic_documents,SELECT|UPDATE,Complete,Mechanic document approval
/admin/(shell)/profile-completion,Profile Completion,Yes (Admin),None,profiles,SELECT,Incomplete,NO API IMPLEMENTATION
/admin/(shell)/brands,Brand Management,Yes (Admin),GET /api/brands,vehicle_brands,SELECT,Incomplete,READ-ONLY - no CRUD
/admin/(shell)/claims,Claims Management,Yes (Admin),"GET /api/admin/claims, POST /api/admin/claims/[id]/approve",warranty_claims,SELECT|UPDATE,Complete,Warranty claim processing
/admin/(shell)/plans,Plan Management,Yes (Admin),"GET /api/admin/plans, POST /api/admin/plans, PUT /api/admin/plans/[id], POST /api/admin/plans/[id]/toggle",service_plans,SELECT|INSERT|UPDATE,Complete,Service plan CRUD
/admin/(shell)/feature-flags,Feature Flags,Yes (Admin),None,None,None,Incomplete,NO BACKEND
/admin/(shell)/analytics/overview,Analytics Overview,Yes (Admin),None,None,None,Incomplete,NO IMPLEMENTATION
/admin/(shell)/unattended,Unattended Sessions,Yes (Admin),None,sessions,SELECT,Incomplete,NO API
/admin/fees,Fee Rules,Yes (Admin),"GET /api/admin/fees/rules, POST /api/admin/fees/rules, PUT /api/admin/fees/rules/[ruleId]",fee_rules,SELECT|INSERT|UPDATE,Complete,Platform fee management
/admin/emergency,Emergency Controls,Yes (Admin),"POST /api/admin/sessions/force-cancel, POST /api/admin/sessions/force-end, POST /api/admin/clear-all-sessions",sessions,UPDATE|DELETE,Complete,DANGEROUS - emergency actions
/admin/analytics/workshop,Workshop Analytics,Yes (Admin),GET /api/admin/analytics/workshop-overview,workshop_analytics_monthly,SELECT,Incomplete,LIMITED DATA
/corporate/signup,Registration Form,No (Public),POST /api/corporate/signup,corporate_businesses,INSERT,Complete,Corporate account signup
/corporate/dashboard,Corporate Dashboard,Yes (Corporate),GET /api/corporate/dashboard,"corporate_businesses, corporate_employees, sessions",SELECT,Incomplete,MINIMAL IMPLEMENTATION
/session/[id],Session Interface,Yes (Supabase),"GET /api/sessions/[id], PUT /api/sessions/[id], GET /api/sessions/[id]/files","sessions, session_files, chat_messages",SELECT|UPDATE,Complete,Live session interface
/session/[id]/complete,Session Completion,Yes (Supabase),POST /api/sessions/[id]/end,sessions,UPDATE,Complete,End session + summary
/sessions/[id]/summary,Session Summary,Yes (Supabase),GET /api/sessions/[id]/summary,sessions,SELECT,Complete,Post-session review
/video/[id],Video Session,Yes (Supabase),"GET /api/livekit/token, GET /api/sessions/[id]","sessions, livekit_rooms",SELECT,Complete,SECURITY RISK - token endpoint unauthenticated
/chat/[id],Chat Session,Yes (Supabase),"POST /api/chat/send-message, GET /api/chat/session-info","chat_messages, sessions",SELECT|INSERT,Complete,Real-time chat
/diagnostic/[id],Diagnostic Session,Yes (Supabase),"GET /api/sessions/[id], POST /api/session/extend","sessions, session_files",SELECT|UPDATE,Complete,Diagnostic interface
/dashboard/intakes,Intake Dashboard,Yes (Supabase),None,intakes,SELECT,Incomplete,DUPLICATE OF CUSTOMER DASHBOARD?
/account/live,Live Account,Yes (Supabase),None,None,None,Incomplete,UNKNOWN PURPOSE
/video,Video List,Yes (Supabase),None,sessions,SELECT,Incomplete,NO BACKEND
/test-auth,Debug Page,No (Public),GET /api/auth/me,None,None,Complete,REMOVE IN PRODUCTION
/test-mechanics,Debug Page,No (Public),None,mechanics,SELECT,Complete,REMOVE IN PRODUCTION
/test-new-features,Debug Page,No (Public),None,None,None,Complete,REMOVE IN PRODUCTION
/diagnostics/revalidate-check,Debug Page,No (Public),None,None,None,Complete,REMOVE IN PRODUCTION
